ID,Jméno místa,E-mail,Webová stránka / profil,Lokalita - kraj,Lokalita do 90 minut,Kapacita text,Kapacita max (číslo),Architektonický typ,Ubytování,Ubytování normalizace,Služby místa,Catering a pití,Catering normalizace,Večerní party,Party normalizace,Přidané hodnoty,Pronájem,Průměrná cena svatby,Další poznámka,Zdroj dohledání webu
83,Trojanův mlýn 16 Praha 6 Suchdol,irenaporschmann@seznam.cz,https://trojanuvmlyn.cz/,Praha,,nad 150,150,"Mlýn, stodola, statek",Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Možnost mít psa,"do 50.000,-","do 200.000,-",Můžete přespat ve vlastních stanech na pozemku mlýna,https://trojanuvmlyn.cz/
84,Bučický mlýn,provozni@bucicky-mlyn.cz,https://bucicky-mlyn.cz,Středočeský,"Lokalita je do 90 minut z Prahy, Liberce i Hradce",nad 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"V jednom z ubytování je sauna, domácí mazlíčci bez omezení, a to i v ubytování, obřad u rybníka, na louce, možnost suché varianty v případě deště, focení se zvířaty.","Nejlevnější varianta pronájmu 70.000, nejdražší 100.000","do 100.000,-",,https://bucicky-mlyn.cz
85,EkoFarma Sádky,info@farmasadky.cz,https://farmasadky.cz,Zlínský,"Od Brna, Ostravy, Olomouce",do 100,100,"Příroda (louka, les, u vody)",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Možnost mít psa, rybník, lodička, přístav-Baťa kanál",Dle počtu osob od 130.000,"do 200.000,-",Umístění v TOP 10 Svatební místo roku 2022,https://farmasadky.cz
86,Perleťárna Popelín,Svatbypopelin@gmail.com,https://perletarnapopelin.cz/,Jihočeský,od Českých Budějovic,do 80,80,"Mlýn, stodola, statek",Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Ovocný sad a louka s rybníčkem pro obřad i hostinu, prostorný dvorek s venkovní atmosférou. Ubytování pro novomanžele v chalupě, možnost stanování na louce a doporučení ubytování v okolí.","do 70.000,-","do 100.000,-","Nejsme klasické komerční místo, ale rodinný prostor s osobní atmosférou.:)",https://perletarnapopelin.cz/
87,Hospůdka u Bobra,hospudka@hospudkaubobra.cz,https://hospudkaubobra.cz,Moravskoslezský,od Ostravy,do 100,100,u splavu,Nemáme,Nemáme,"hostina, obřad, párty",v případě vlastního pití - korkovné,ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,umíme vyhovět většině požadavkům :),pronájem si neúčtujeme,záleží od požadavků a budgetu na 1os,"jsme v Gault Millau 2025,2026 
 máme možnost cateringu a dovést na konkrétní místo, živé vaření před hosty, zajištění sweet baru a mnoho jiného :)",https://hospudkaubobra.cz
88,Penzion kaminek,Info@penzion-kaminek.cz,https://penzion-kaminek.cz,Jihočeský,od Českých Budějovic,do 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Koupací sud neomezené prostorové možnosti taktéž parkování,"do 100.000,-","do 300.000,-",,https://penzion-kaminek.cz
89,DŮM U PARKU,info@dumuparku.cz,https://dumuparku.cz,Olomoucký,Je nám to jedno,nad 150,150,historický společenský sál,Ano - v okolí do 10 minut,"ano, přímo v místě","komplet vše na jednom místě, pouze bez ubytování, to je 5 minut odsud",Dle domluvy,dle domluvy,party možná do 02:00,ověřit detail,krásné místo v centru Olomouce hned vedle parku (i v parku mohou být obřady a jsou kouzelné),"samotný pronájem prostoru nad 90 osob je za 39.000 Kč bez DPH + je k tomu účtován inventář dle výběru snoubenců, pití, nápoje, výzdoba apod. To se vše připočítává k tomu dle konkrétní domluvy","je nám to jedno, dokážeme to udělat za méně i za více dle požadavků snoubenců, může mít minimum z naší nabídky, nelpíme na tom, aby tam bylo vše a promítlo se to do ceny",,https://dumuparku.cz
90,HUMNO 11,info@humno11.cz,https://humno11.cz,Olomoucký,Je nám to jedno,do 150,150,"Mlýn, stodola, statek",Nemáme,Nemáme,"máme pouze pokoj pro novomanžele, případně se dá u nás stanovat ve vlastních stanech. Jinak může být vše na jednom místě.",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"možnost mít psa a pronajatou stodolu, kde mohou být 3 dny a budou tam mít klid","pronájem ze soboty na neděli je 20.000 Kč, od pátku do neděle 30.000 Kč, ale potom se k tomu připočítávají veškeré další položky z inventáře, které by snoubenci chtěli","je nám to jedno, může tam být ""vše"" co nabízíme a vyjde to na více Kč, nebo téměř ""nic"" a vyjde to na málo Kč. Vše záleží na snoubencích","Naše stodola je krásná, zrekonstruovaná a má úžasnou kouzelnou atmosféru. Je však potřeba myslet na to, že je to pořád stodola, takže pavučiny nejdou vymést na 100 %, před stodolou běhá místní kočka apod. Pořád je to o tom, že je člověk na vesnici.",https://humno11.cz
91,Minipivovar Kněžínek,provozni@knezinek.cz,https://knezinek.cz,Jihočeský,od Českých Budějovic,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,"Wellness, bluetooth reproduktory, projektor, venkovní posezení, psi vítáni, dětské hřiště, dětský koutek","do 50.000,-","do 200.000,-",Jsme velmi transparentní a přizpůsobíme se téměř každému přání zákazníka,https://knezinek.cz
92,Horský Hotel Lesná,info@horskyhotellesna.cz,https://horskyhotellesna.cz,Ústecký,,do 100,100,"Příroda (louka, les, u vody)",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,"Psi vítáni, Sauna, rybníček",Dle domluvy,je nám to jedno,,https://horskyhotellesna.cz
93,West Park,event@westpark.cz,https://westpark.cz,Plzeňský,od Prahy,do 100,100,Zajímavé místo / unikát,Nemáme,Nemáme,"Komplet vše na jednom místě - hostina, obřad, ubytování, party","Pití od nás, catering mohou mít vlastní, pak je ale o něco dražší pronájem.",ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Unikátní dobové prostředí a expozice z Divokého západu; stylový krytý prostor; možnost mít s sebou domácího mazlíčka; možnost stylového doprovodného programu (indiánské a westernové vystoupení) a mnoho tematických aktivit pro děti; možnost využití dětského hřiště; možnost svezení na koni či poníku; možnost přespání v indiánském týpí,"do 50.000,-","do 200.000,-",,https://westpark.cz
94,Chodská Chalupa,michaela@hrbacek.cz,https://hrbacek.cz,Plzeňský,,do 150,150,Zajímavé místo / unikát,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Celý areál pro svatebčany,"do 70.000,-",je nám to jedno,,https://hrbacek.cz
95,Zámek Úsobí,info@zamekusobi.cz,https://zamekusobi.cz,Vysočina,od Prahy,do 100,100,Zámek,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Celý zámek je na celý víkend uzavřený jen pro svatbu.,"do 70.000,-","do 100.000,-",,https://zamekusobi.cz
96,Penzion U Ševců,penzionusevcu@seznam.cz,https://www.penzion-usevcu.cz/svatby/,Jihočeský,od Českých Budějovic,do 100,100,Rodinný penzion uprostřed nádherné přírody Blanského lesa přímo pod horou Kleť,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Máme místo dále od sousedů hudba se může pouštět do 2h v rozumné míře,ověřit detail,Obřad na moje jezírka s výhledem na Kleť v krásné panenské přírodě Blanského lesa,"do 50.000,-","do 200.000,-","Jsme jiní v tom, že u nás opravdu nemusíte nic řešit. 
Svatby děláme bez starostí – a to u nás znamená:
– připravíme celý prostor (obřad, hostinu i večerní část)
– zajistíme a nachystáme výzdobu podle vaší představy
– postavíme obřadní místo včetně všech detailů
– připravíme kompletní zázemí pro hosty
– zajistíme hostinu i večerní raut
– hlídáme časový průběh dne, aby vše navazovalo
– jsme vám po celý den k dispozici a vše řešíme na místě
– po svatbě vše uklidíme a dáme zase do pořádku
👉 dodavatele si řešíte podle sebe, ale samotný den a jeho průběh už je na nás
Navíc je u nás všechno na jednom místě a penzion máte jen pro sebe, takže máte klid a soukromí.
Nejsme „svatební fabrika“ – každou svatbu děláme tak, jako by byla naše.",https://www.penzion-usevcu.cz/svatby/
97,Hotel Rytířsko,kristyna.varhanikova@hotelrytirsko.cz,https://hotelrytirsko.cz,Vysočina,"Od Prahy, Brna, Hradce Kralove i od Ceskych Budejovic",do 150,150,Hotelový styl,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, pet friendly, billiarda a bowling, uzavřená velká terasa",15000,Dle počtu lidí,,https://hotelrytirsko.cz
98,PENZION U BLÁHŮ,PENZIONUBLAHU@SEZNAM.CZ,https://penzionublahu.cz/svatby/,Olomoucký,od Olomouce,do 100,100,Hotelový styl,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,MOŽNOST PSA,Dle domluvy,"do 200.000,-","SVATBA DO 50 LIDÍ 130 000,- S 10X POKOJEMA",https://penzionublahu.cz/svatby/
99,Malebný statek,natalie.honcu@seznam.cz,https://www.instagram.com/malebnystatek/,Královohradecký,"Nejde zaškrtnout více možností. 90 minut od: Hradce, Liberce",do 60,60,"Mlýn, stodola, statek",Ano - do 10 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Pes je možný,"Do 60 000,-",,"Grunt je rozdělen na dvě půlky. V té přední bydlíme, tudíž jsme po celou dobu svatby k dispozici. Obecně se u nás konají spíše svatby v poklidné a rodinné atmosféře.",https://www.instagram.com/malebnystatek/
100,Hospůdka U Kozlerů,hospudkaukozleru@seznam.cz,https://www.hospodaukozleru.cz/,Plzeňský,,do 100,100,Stylová venkovská hospůdka s kamennou stodolou,Nemáme,Nemáme,,nebo dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 20.000,-","do 100.000,-",,https://www.hospodaukozleru.cz/
101,Villa Regenhart,reditel@villaregenhart.cz,https://villaregenhart.cz,Olomoucký,Je nám to jedno,do 60,60,Zajímavé místo / unikát,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"spa procedury, wellness, bazén, saunový svět, altánek, záhradka, neobaroční villa",Dle domluvy,je nám to jedno,,https://villaregenhart.cz
102,Hotel Vinice Hnanice,provozni@vinice-hnanice.cz,https://vinice-hnanice.cz,Jihomoravský,od Brna,do 150,150,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"terasa s kapacitou až 120 osob, stan na terase, wellness, biotop, dětské hřiště, dog friendly, možnost vlastní výzdoby","do 50.000,-","2.000,-/osoba. Tato otázka je pro svatební místa poměrně zavádějící, protože celková cena se výrazně odvíjí od počtu hostů. Přesnější by bylo uvádět orientační cenu na osobu nebo modelový příklad.",,https://vinice-hnanice.cz
103,Penzion Kadlcův mlýn,kadlcuvmlyn@seznam.cz,https://www.kadlcuvmlyn.cz/svatby-narozeniny,Jihomoravský,v Brně,do 150,150,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě",pouze pronájem prostor a ubytování,snoubenci si jídlo a pití řeší sami např. formou cateringu,ověřit detail,Dle domluvy,ověřit detail,V Brně a přitom v přírodě.,"do 100.000,-","nevím, prostory pouze pronajímáme",Omezený počet parkovacích míst - max 26,https://www.kadlcuvmlyn.cz/svatby-narozeniny
104,U Prejzků,info@uprejzku.cz,https://uprejzku.cz,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Menší wellness, vyhřívaný bazén s protiproudem v zahradě",individuální rozpočet na míru,"do 200.000,-",www.svatbyuprejzku.cz,https://uprejzku.cz
106,Penzion Fojtství,svatba@penzionfojtstvi.cz,https://penzionfojtstvi.cz,Olomoucký,od Olomouce,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Velká uzavřená zahrada,"do 50.000,-","do 200.000,-",,https://penzionfojtstvi.cz
107,Statek Vitice,statekvitice@email.cz,https://www.statekvitice.cz/,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Catering a nápoje od nás, tvrdý alkohol může být vlastní bez korkovného",ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,možnost psa,"110 000,- / celý statek / včetně ubytování a enerigí na 3 dny","do 300.000,-",,https://www.statekvitice.cz/
108,Hotel Selský Dvůr,lenka.frydova@je-hotels.cz,https://je-hotels.cz,Praha,,do 60,60,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě",Pronájem hotelu bez připrav svatby,Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, moznost malych psu, atrium, konferencni mistnost, salonek","do 70.000,-","70 00,- pronájem prostoru","Pronájíme místo, nikoliv koordinaci svatby",https://je-hotels.cz
109,Svatojakubský pivovar,svatojakubskypivovar@seznam.cz,https://svatojakubskypivovar.cz/,Vysočina,od Brna,do 100,100,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 50.000,-","do 200.000,-",,https://svatojakubskypivovar.cz/
110,Zámek Křtiny,michaela.ksicova@mendelu.cz,https://mendelu.cz,Jihomoravský,od Brna,do 100,100,"Spíše než tradiční Zámek jsme spíše multifunkční areál v srdci barokního zámku pro různá setkávání (školení, přednášky, oslavy, svatby...)",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","catering od nás, nápoje mohou kombinovat - od nás + vlastní za korkovné",ověřit detail,party možná i po 22 hod při zachování regulace hlasitosti hudby,možné po 22:00 dle podmínek,Hraběnčino apartmá v hodnotě 5 tis zdarma na 1 noc pro novomanžele,"do 50.000,-","do 200.000,-",v těsné blízkosti Zámku je Santiniho kostel - možnost i církevních obřadů,https://mendelu.cz
111,Statek Kočvary,svatby.kocvary@gmail.com,https://www.kocvary.cz/svatby/,Středočeský,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Možnost zapůjčení koně na focení či pro děti na svezení.,"do 50.000,-","do 100.000,-",,https://www.kocvary.cz/svatby/
112,Vinařství SPIELBERG,rezervace@spielberg.cz,https://spielberg.cz,Jihomoravský,od Olomouce,do 150,150,Toskánský styl,Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Hudba venku do 22:00 potom ve vnitřních prostorách Křišťálového sálu,ověřit detail,"Foto ve vinících, ochutnávka vín","do 100.000,-","do 300.000,-",,https://spielberg.cz
113,Vítovský statek,info@vitovskystatek.cz,https://vitovskystatek.cz,Středočeský,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"pes, rybník a sady na focení","do 100.000,-","do 200.000,-",Dojezd do Prahy 20 min.,https://vitovskystatek.cz
114,"Restaurant Nebozízek, Praha 1, Malá Strana, Petřínské sady 411/14,",milena@nebozizek.cz,https://nebozizek.cz,Praha,,nad 150,150,"V přírodě na Petříně, s překrásným výhledem na celou Prahu a Pražský Hrad",Ano - v okolí do 10 minut,"ano, přímo v místě","Obřad, hostina, servírované i rautové menu, večerní party s tancem, kompletní svatební servis, vlastní DJ, floristka, dekoratérka, vlastní catering,","snoubenci mohou mít vlastní dort a vlastní alkohol, za kolkovné",ověřit detail,"party můžeme mít dle domluvy, až do rána",ověřit detail,"mohou mít psa, pro děti je zde k dispozici dětský koutek",podle velikosti prostoru a počtu hostů,"cena za jídlo, je minimálně 1500 Kč na osobu, nápoje dle skutečné konzumace, svatební služby dle výběru z nabídky",doprava na Petřín je bez problémů,https://nebozizek.cz
115,Hotel Kempa,info@hotelkempa.cz,https://hotelkempa.cz,Moravskoslezský,Je nám to jedno,do 80,80,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,Dle domluvy,ověřit detail,"wellness, minigolf, dětské hříště",Dle domluvy,"do 300.000,-",,https://hotelkempa.cz
116,Vinné sklepy Skalák,svatby@sklepskalak.cz,https://sklepskalak.cz,Jihomoravský,,do 100,100,Zajímavé místo / unikát,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Koordinátorka. Děláme i svatby na klíč. Klidné místo.,"do 50.000,-","do 200.000,-",,https://sklepskalak.cz
117,Penzion Roseta,roseta@mybox.cz,https://mybox.cz,Jihomoravský,Je nám to jedno,do 60,60,Penzion a zahradní restaurace se zahradou růží,Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Jídlo a nealko od nás, alkohol vlastní",ověřit detail,"párty o víkendu max. do 2:00, ostatní dny do 22:00",ověřit detail,"velká zahrada vhodná i pro focení, uzavřený prostor, vlastní vinařství - možnost degustace vín, dětská hřiště, možnost mít psa",v ceně balíčku,"dle počtu osob ( průměrně 2600,- )","Malý rodinný penzion s osobním přístupem, na všem se dá domluvit.... Pro rok 2026 máme plno!!!!",https://mybox.cz
118,Svatby od srdce,iveta@svatbyodsrdce.cz,https://svatbyodsrdce.cz,Královohradecký,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,Přesun ve 21 hod. do jiné místnosti,po 22:00 s přesunem dovnitř,"Vytápěný a klimatizovaný vnitřní sál, pánský koutek, zapůjčení dekorací","do 100.000,-",je nám to jedno,-,https://svatbyodsrdce.cz
119,Penzion Nový Rybník Obořiště,ubytovani@novyrybnik.com,https://novyrybnik.com,Středočeský,od Prahy,do 100,100,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"okrasný rybníček, velký rybník- molo na rybníce, wellness (sauna, koupele, červené světlo), možnost psa, penzion zasazen do přírody","do 70.000,-","do cca 200 000,- Kč pro 50-70 os.","nabízíme částečnou koordinaci, koordinace obřadu na místě, doporučené kontakty: dj, foto, výzdoba, líčení",https://novyrybnik.com
120,Farma Michael,svatby@farmamichael.cz,https://farmamichael.cz,Středočeský,od Prahy,do 150,150,Zajímavé místo / unikát,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, exkluzivní pronájem celého arealu, koordinace, špišková gastronomie, až 5 obřadních míst, monoho vnitřích a venkovních prostor","do 150.000,-","nad 500.000,-",nejkrásnejší svatební místo :),https://farmamichael.cz
121,Ranch 13,recepcia.ranch13@bricol.mobi,https://bricol.mobi,Evropské státy,od Brna,nad 150,150,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"pes ok ,rybnicek detske hrište foto s konem","do 100.000,-","do 200.000,-",kokni na www ranch13 .sk,https://bricol.mobi
122,Stodola Borohrádek,info@stodolaborohradek.cz,https://stodolaborohradek.cz,Královohradecký,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Snoubenci pokud využijí náš smluvní catering je to bez poplatků, pokud si zvolí svůj vlastní je to za poplatek.",vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Mazlíčci vítáni,"do 150.000,-",je nám to jedno,,https://stodolaborohradek.cz
123,Škola na Vsi,info@skolanavsi.cz,https://skolanavsi.cz,Královohradecký,od Hradce Králové,do 60,60,Zajímavé místo / unikát,Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"civilní obřad v kapli, nekonečné louky, samota","do 70.000,-","do 200.000,-","Plné svatební vybavení k dispozici (brána, výzdoba, oddací stolek, výzdoba atd.)",https://skolanavsi.cz
124,Statek Věžníkov,petra@statekveznikov.cz,https://statekveznikov.cz,Středočeský,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"možnost mít psa, rybníček","do 100.000,-",je nám to jedno,,https://statekveznikov.cz
125,Lovecký penzion Frič,info.penzionfric@gmail.com,https://www.penzionfric.cz/,Karlovarský,od Prahy,do 60,60,"Penzion, zajímavé místo i interiér",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Možnost mít psa. Jezírko, relaxační zóna na zahradě. Krásný výhled na les a přírodu kolem. Malá obůrka s ovečkami, zajímavé pro děti. Zastřešená terasa v případě špatného počasí.",Dle domluvy,"do 200.000,-",,https://www.penzionfric.cz/
126,Peckův mlýn,peckuvmlyn@seznam.cz,https://www.peckuvmlyn-svatby.cz/,Plzeňský,od Plzně,do 80,80,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"rybníček s pramicí, svatební místo na samotě uprostřed přírody, bez sousedů, herna - kulečník, stolní tenis, fotbálek, dětské hřiště pro děti , neomezené parkování",od 40000 Kč do 80000 Kč dle vybraného termínu a počtu hostů,"do 100.000,-",,https://www.peckuvmlyn-svatby.cz/
127,Statek Blaník - Světlá č. 2,chaloupkapodblanikem@seznam.cz,https://www.statekblanik.cz/,Středočeský,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,Dle domluvy,ověřit detail,,"do 100.000,-","do 200.000,-",,https://www.statekblanik.cz/
128,Stodola Lesůňky,stodolalesunky@seznam.cz,https://stodolalesunky.cz/,Vysočina,Je nám to jedno,do 100,100,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Catering je nutný od nás, pití můžou mít vlastní - korkovné neplatí",ověřit detail,Dle domluvy,ověřit detail,"Možnost zvířete, doporučení našich dodavatelů","Cena 80 000,- a ubytování pro 20 osob je v ceně pronájmu.","Nedokážu říct, cena pronájmu je 80 000 Kč.","Nevím, klidně se ptejte :-)",https://stodolalesunky.cz/
129,Na Nebesích,Penzionnanebesich@gmail.com,https://na-nebesich.cz/,Pardubický,Je nám to jedno,do 150,150,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,,"do 70.000,-","do 200.000,-",,https://na-nebesich.cz/
130,Ranč Telč,info@ranctelc.cz,https://ranctelc.cz,Vysočina,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"mazlíčci povoleni, statek uprostřed přírody, privátní místo pro Vaši svatbu, vířivka, programy pro děti i dospělé se zvířaty","do 100.000,-","do 200.000,-",,https://ranctelc.cz
